country,year,rp,impact
AUT,2008,34.0,679636.0
AUT,2007,17.0,564583.0
AUT,1990,11.333333333333334,559962.0
AUT,2000,8.5,33990.0
AUT,2002,6.8,8135.0
AUT,1994,5.666666666666667,3949.0
AZO,1996,34.0,123145.0
BEL,1990,34.0,2195052.0
BEL,2007,17.0,635155.0
BEL,2010,11.333333333333334,214738.0
BEL,1995,8.5,192052.0
BEL,1999,6.8,87845.0
BEL,2002,5.666666666666667,8135.0
BEL,1998,4.857142857142857,898.0
BLR,1997,34.0,60166.0
BLR,2007,17.0,14115.0
CHE,1999,34.0,2635343.0
CHE,1993,17.0,850868.0
CHE,1990,11.333333333333334,627157.0
CHE,2007,8.5,141146.0
CHE,2010,6.8,18790.0
CHE,1994,5.666666666666667,9872.0
CHE,2003,4.857142857142857,7954.0
CHE,1998,4.25,1795.0
CZE,2007,34.0,211718.0
CZE,2008,17.0,67964.0
CZE,2002,11.333333333333334,32540.0
DEU,1990,34.0,9944927.0
DEU,2007,17.0,7763012.0
DEU,2002,11.333333333333334,3335330.0
DEU,1999,8.5,3074567.0
DEU,2008,6.8,1631127.0
DEU,2010,5.666666666666667,1342112.0
DEU,2022,4.857142857142857,1023156.0
DEU,1994,4.25,789758.0
DEU,1993,3.7777777777777777,769833.0
DEU,2018,3.4,685844.0
DEU,1995,3.090909090909091,614566.0
DEU,2003,2.8333333333333335,477263.0
DEU,2005,2.6153846153846154,404609.0
DEU,1998,2.4285714285714284,269300.0
DEU,2004,2.2666666666666666,201421.0
DEU,1991,2.125,10744.0
DEU,1996,2.0,933.0
DNK,1999,34.0,4576605.0
DNK,2005,17.0,1948118.0
DNK,1990,11.333333333333334,425571.0
DNK,2007,8.5,141146.0
ESP,2009,34.0,2591834.0
ESP,2010,17.0,456318.0
ESP,2020,11.333333333333334,356191.0
ESP,1999,8.5,175690.0
ESP,2001,6.8,119001.0
ESP,1997,5.666666666666667,9116.0
ESP,1998,4.857142857142857,1795.0
EST,2005,34.0,194812.0
FIN,1990,34.0,22398.0
FRA,1999,34.0,21082744.0
FRA,2010,17.0,5677133.0
FRA,2009,11.333333333333334,4365193.0
FRA,1990,8.5,4278111.0
FRA,1995,6.8,1344362.0
FRA,2020,5.666666666666667,1093451.0
FRA,1993,4.857142857142857,1012939.0
FRA,2017,4.25,656660.0
FRA,2007,3.7777777777777777,352864.0
FRA,1998,3.4,269300.0
FRA,2019,3.090909090909091,114471.0
FRA,2002,2.8333333333333335,1627.0
FRA,2003,2.6153846153846154,80.0
FRA,1996,2.4285714285714284,19.0
FRA,2023,2.2666666666666666,0.0
GBR,1990,34.0,10728874.0
GBR,1998,17.0,2451352.0
GBR,1991,11.333333333333334,1933961.0
GBR,2007,8.5,1693748.0
GBR,2015,6.8,1481690.0
GBR,2005,5.666666666666667,1048987.0
GBR,2002,4.857142857142857,650877.0
GBR,1996,4.25,559748.0
GBR,2022,3.7777777777777777,491342.0
GBR,1999,3.4,177447.0
GBR,2014,3.090909090909091,123621.0
GBR,2010,2.8333333333333335,671.0
GRC,2004,34.0,526794.0
HUN,2006,34.0,14517.0
IRL,1990,34.0,246383.0
IRL,1999,17.0,175690.0
IRL,2000,11.333333333333334,169951.0
IRL,1991,8.5,8595.0
IRL,1996,6.8,1866.0
IRL,1998,5.666666666666667,90.0
ITA,2018,34.0,1282006.0
ITA,1993,17.0,1266173.0
ITA,2010,11.333333333333334,1170321.0
ITA,1990,8.5,44797.0
LTU,2005,34.0,44957.0
LTU,1993,17.0,9319.0
LTU,1999,11.333333333333334,878.0
LUX,1990,34.0,828742.0
LUX,2010,17.0,41605.0
LUX,1995,11.333333333333334,19205.0
LVA,2005,34.0,487030.0
LVA,1999,17.0,878.0
NLD,1990,34.0,3919735.0
NLD,1995,17.0,2266211.0
NLD,2007,11.333333333333334,776301.0
NLD,2022,8.5,568420.0
NLD,2002,6.8,488097.0
NLD,2018,5.666666666666667,128213.0
NLD,2010,4.857142857142857,37579.0
NLD,2013,4.25,12563.0
NLD,1994,3.7777777777777777,3949.0
NLD,1998,3.4,180.0
NOR,1990,34.0,291180.0
NOR,2005,17.0,194812.0
NOR,1993,11.333333333333334,6078.0
POL,2007,34.0,141146.0
POL,1990,17.0,111992.0
POL,2008,11.333333333333334,67964.0
POL,1999,8.5,17569.0
POL,1994,6.8,1974.0
POL,2002,5.666666666666667,244.0
PRT,2010,34.0,362370.0
PRT,2018,17.0,134611.0
PRT,1997,11.333333333333334,45580.0
SVK,2004,34.0,593883.0
SVN,2007,34.0,553291.0
SWE,2005,34.0,4195947.0
SWE,1999,17.0,281103.0
SWE,1990,11.333333333333334,22398.0
UKR,2000,34.0,203941.0
UKR,2021,17.0,183605.0
UKR,2007,11.333333333333334,141146.0
UKR,1997,8.5,61989.0
UKR,1992,6.8,3337.0
