year,rp,impact
1990,34.0,34247279000.0
1999,17.0,32286359000.0
2007,11.333333333333334,13129371000.0
2010,8.5,9321637000.0
2005,6.8,8519272000.0
2009,5.666666666666667,6957027000.0
2002,4.857142857142857,4524985000.0
1995,4.25,4436396000.0
1993,3.7777777777777777,3915210000.0
1998,3.4,2994710000.0
2008,3.090909090909091,2446691000.0
2018,2.8333333333333335,2230674000.0
2022,2.6153846153846154,2082918000.0
1991,2.4285714285714284,1953300000.0
2015,2.2666666666666666,1481690000.0
2020,2.125,1449642000.0
2004,2.0,1322098000.0
1994,1.8888888888888888,809502000.0
2017,1.7894736842105263,656660000.0
1996,1.7,562566000.0
2003,1.619047619047619,485297000.0
2000,1.5454545454545454,407882000.0
2021,1.4782608695652173,183605000.0
1997,1.4166666666666667,176851000.0
2014,1.36,123621000.0
2001,1.3076923076923077,119001000.0
2019,1.2592592592592593,114471000.0
2023,1.2142857142857142,40000000.0
2006,1.1724137931034482,14517000.0
2013,1.1333333333333333,12563000.0
1992,1.096774193548387,3337000.0
